tp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,114.6,236.1,448.1,673.1,779.3,982.9,1040.8,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,369.7,699.0,941.2,954.5,990.0,1134.8,1179.8,1230.7,1264.1,1264.1,1264.1,1264.1,1264.1,1264.1,1264.1,1264.1
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,73.7,179.7,564.1,910.1,975.0,1019.7,1019.7,1019.7,1019.7,1031.6,1031.6,1031.6,1037.9,1037.9,1037.9,1037.9
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,199.8,484.0,693.2,776.5,809.7,809.7,809.7,892.3,905.0,911.5,911.5,916.3,916.3,916.3,916.3
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,216.4,450.0,704.6,874.8,957.4,982.4,1027.6,1029.9,1029.9,1057.9,1057.9,1057.9,1057.9,1057.9,1057.9,1057.9
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,123.0,358.0,618.0,705.2,767.3,807.9,813.6,822.5,839.9,848.6,866.6,929.6,929.6,964.6,964.6,964.6
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,657.1,767.9,961.0,1032.2,1039.6,1039.6,1039.6,1039.6,1039.6,1039.6,1039.6,1039.6,1039.6,1039.6,1039.6
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.7,8.7,8.7,218.6,535.4,663.0,781.8,834.0,877.5,877.5,903.6,903.6,903.6,903.6,903.6
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,267.3,556.3,760.5,827.5,827.5,827.5,827.5,827.5,827.5,827.5,827.5,827.5,827.5,827.5
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,139.6,385.4,578.4,815.8,919.0,919.0,919.0,919.0,919.0,919.0,919.0,919.0,919.0,919.0
