sci_id, tp, age, actual_returns,0,1,2,3,4,5
34,7,4,47.4,27,31,-1,-1,-1,-1
35,7,4,78.6,45,-1,-1,-1,-1,-1
36,7,4,83.4,28,-1,-1,-1,-1,-1
37,7,4,23.4,0,52,-1,-1,-1,-1
38,7,4,87.6,34,40,-1,-1,-1,-1
39,7,3,59.9,33,14,-1,-1,-1,-1
40,7,3,58.0,35,-1,-1,-1,-1,-1
41,7,3,52.8,7,24,12,13,-1,-1
42,7,3,57.8,30,-1,-1,-1,-1,-1
43,7,3,73.4,48,34,-1,-1,-1,-1
44,7,3,84.5,26,-1,-1,-1,-1,-1
45,7,3,54.9,25,59,-1,-1,-1,-1
46,7,3,77.8,17,51,-1,-1,-1,-1
47,7,3,109.8,46,-1,-1,-1,-1,-1
48,7,2,65.8,1,59,-1,-1,-1,-1
49,7,2,67.0,20,7,-1,-1,-1,-1
50,7,2,73.2,33,52,-1,-1,-1,-1
51,7,2,118.4,20,41,-1,-1,-1,-1
52,7,2,86.2,34,51,-1,-1,-1,-1
53,7,2,75.4,18,37,-1,-1,-1,-1
54,7,2,120.0,36,46,-1,-1,-1,-1
55,7,2,98.0,39,10,-1,-1,-1,-1
56,7,2,124.0,6,31,-1,-1,-1,-1
57,7,2,98.6,47,-1,-1,-1,-1,-1
58,7,2,92.6,6,55,-1,-1,-1,-1
59,7,2,51.8,32,52,-1,-1,-1,-1
60,7,2,121.6,45,-1,-1,-1,-1,-1
61,7,1,112.5,48,13,-1,-1,-1,-1
62,7,1,145.8,30,-1,-1,-1,-1,-1
63,7,1,70.4,2,31,-1,-1,-1,-1
64,7,1,98.3,51,56,-1,-1,-1,-1
65,7,1,85.9,48,43,-1,-1,-1,-1
66,7,1,99.3,48,17,-1,-1,-1,-1
67,7,1,102.1,33,19,20,-1,-1,-1
68,7,0,126.0,54,-1,-1,-1,-1,-1
69,7,0,91.0,45,-1,-1,-1,-1,-1
70,7,0,105.0,53,-1,-1,-1,-1,-1
71,7,0,106.0,43,-1,-1,-1,-1,-1
72,7,0,86.0,32,36,-1,-1,-1,-1
73,7,0,96.0,53,-1,-1,-1,-1,-1
74,7,0,85.0,22,27,-1,-1,-1,-1
75,7,0,102.0,59,-1,-1,-1,-1,-1
76,7,0,78.0,52,-1,-1,-1,-1,-1
77,7,0,105.0,17,36,-1,-1,-1,-1
8,8,7,42.3,35,-1,-1,-1,-1,-1
9,8,7,40.5,53,26,-1,-1,-1,-1
10,8,7,45.3,23,8,11,-1,-1,-1
11,8,7,12.5,36,-1,-1,-1,-1,-1
12,8,7,1.2,61,14,-1,-1,-1,-1
13,8,7,43.2,30,-1,-1,-1,-1,-1
14,8,7,34.0,60,15,-1,-1,-1,-1
15,8,7,17.6,0,62,-1,-1,-1,-1
16,8,7,46.5,17,-1,-1,-1,-1,-1
17,8,7,44.7,55,-1,-1,-1,-1,-1
18,8,7,39.6,54,-1,-1,-1,-1,-1
19,8,7,14.1,29,-1,-1,-1,-1,-1
20,8,6,59.6,22,7,24,-1,-1,-1
21,8,6,56.8,56,-1,-1,-1,-1,-1
22,8,6,69.2,43,-1,-1,-1,-1,-1
23,8,6,52.0,51,22,12,-1,-1,-1
24,8,6,59.6,43,-1,-1,-1,-1,-1
25,8,6,31.8,1,62,-1,-1,-1,-1
26,8,6,64.0,36,26,46,-1,-1,-1
27,8,6,62.4,38,-1,-1,-1,-1,-1
28,8,6,61.6,18,21,27,-1,-1,-1
29,8,5,40.5,53,-1,-1,-1,-1,-1
30,8,5,81.5,49,-1,-1,-1,-1,-1
31,8,5,66.5,58,46,-1,-1,-1,-1
